"home_ID","ADDRESS","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","BLOCK","LOT","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","lat","lon","num_schools","num_food","num_parks","num_subway","neighborhood_ord"
91,"263 EAST 7TH STREET, Manhattan","ALPHABET CITY","03 THREE FAMILY DWELLINGS",377,56,10009,3,0,"3","2,430","3,600",1899,1,"C0",6300000,"4/30/19",40.7236251,-73.9774113952752,0,0,51,0,7
92,"268 WEST 139TH STREET, Manhattan","HARLEM-CENTRAL","02 TWO FAMILY DWELLINGS",2024,62,10030,2,0,"2","1,699","4,000",1910,1,"B2",10,"4/22/19",40.8187392,-73.9444304964707,6,0,52,1,5
93,"271 PLEASANT AVENUE, Manhattan","HARLEM-EAST","01 ONE FAMILY DWELLINGS",1708,24,10029,1,0,"1","928","2,501",1890,1,"A9",1,"4/1/19",40.79412265,-73.9341602155734,1,10,36,0,1
94,"272 WEST 91ST STREET, Manhattan","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1238,160,10024,1,0,"1","1,063","5,070",1920,1,"A4",5750000,"6/18/19",40.7917939,-73.9751949099693,0,0,24,2,8
95,"278 WEST 25TH STREET, Manhattan","CHELSEA","02 TWO FAMILY DWELLINGS",774,80,10001,2,0,"2","937","2,052",1900,1,"B9",4100000,"8/27/19",40.7462771,-73.9971913,1,2,23,3,11
96,"286 WADSWORTH AVENUE, Manhattan","WASHINGTON HEIGHTS UPPER","01 ONE FAMILY DWELLINGS",2170,22,10040,1,0,"1","2,248","1,914",1901,1,"A9",945000,"6/13/19",40.85397865,-73.9322456358587,0,0,19,1,6
97,"29 EAST 129TH STREET, Manhattan","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS",1754,14,10035,3,0,"3","1,699","2,852",1900,1,"C0",2265500,"7/17/19",40.80859795,-73.9390746851673,5,2,37,0,5
98,"3 EAST 94TH ST, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1506,6,10128,1,0,"1","2,517","7,110",1901,1,"A4",2.1e+07,"11/6/19",40.78653025,-73.9559958181455,0,1,16,1,15
99,"3 RIVERVIEW TERRACE, Manhattan","MIDTOWN EAST","01 ONE FAMILY DWELLINGS",1372,59,10022,1,0,"1","1,250","4,274",1899,1,"A4",6500000,"11/13/19",40.7579699,-73.9594922099604,0,0,22,0,13
100,"30 SULLIVAN STREET, Manhattan","SOHO","01 ONE FAMILY DWELLINGS",490,29,10012,1,0,"1","0","0",2015,1,"A7",12296500,"4/5/19",40.7245828333333,-74.0040657083333,3,0,30,4,14
101,"302 WEST 11TH STREET, Manhattan","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS",633,52,10014,2,1,"3","1,102","2,996",1910,1,"S2",13700000,"4/9/19",40.7357199,-74.0061833,0,1,29,1,12
102,"304 EAST 18TH STREET, Manhattan","KIPS BAY","03 THREE FAMILY DWELLINGS",923,61,10003,3,0,"3","1,716","4,437",1901,1,"C0",4e+06,"4/18/19",40.7344701,-73.982680245156,9,1,22,2,9
103,"310 EAST 81ST STREET, Manhattan","UPPER EAST SIDE (79-96)","03 THREE FAMILY DWELLINGS",1543,47,10028,3,0,"3","1,533","2,655",1925,1,"C0",10,"10/1/19",40.77426975,-73.9535986445941,1,1,0,1,15
104,"311 WEST 4TH STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",615,6,10014,1,0,"1","1,500","3,372",1915,1,"A9",12250000,"1/3/20",40.7372308,-74.0036389250727,0,1,30,4,12
105,"313 WEST 80TH STREET, Manhattan","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1244,38,10024,1,0,"1","1,635","3,596",1899,1,"A4",6500000,"6/4/19",40.7854463,-73.9812129524264,0,0,36,1,8
106,"314 EAST 69TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1443,48,10021,1,0,"1","1,289","3,952",1899,1,"A4",5875000,"2/28/20",40.7665026,-73.959351845143,4,0,9,2,15
107,"318 EAST 53RD STREET, Manhattan","MIDTOWN EAST","03 THREE FAMILY DWELLINGS",1345,44,10022,3,0,"3","1,841","4,207",1899,1,"C0",319393,"2/4/20",40.7562089,-73.9664785883269,1,1,8,2,13
108,"323 EAST 51ST STREET, Manhattan","MIDTOWN EAST","03 THREE FAMILY DWELLINGS",1344,10,10022,3,0,"3","1,883","3,707",1910,1,"C0",5600000,"6/19/19",40.75524285,-73.9670292373932,1,1,8,2,13
109,"323 WEST 88TH STREET, Manhattan","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1250,20,10024,1,0,"1","2,013","8,500",1910,1,"A4",9999999,"11/21/19",40.79076465,-73.9777844203251,0,0,21,1,8
110,"325 WEST 76TH STREET, Manhattan","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1185,55,10023,1,0,"1","2,043","7,515",1900,1,"A5",8350000,"1/21/20",40.783025,-73.9835850655824,0,0,38,1,8
111,"327 CONVENT AVENUE, Manhattan","HARLEM-CENTRAL","01 ONE FAMILY DWELLINGS",2050,27,10031,1,0,"1","2,000","4,720",1899,1,"A4",3450000,"7/9/19",40.82348285,-73.9467250417813,1,2,29,2,5
112,"327 WEST 76TH STREET, Manhattan","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1185,54,10023,1,0,"1","2,248","7,200",1900,1,"A4",10625000,"3/4/20",40.7830459,-73.983656660112,0,0,38,1,8
113,"33 WEST 74TH STREET, Manhattan","UPPER WEST SIDE (59-79)","02 TWO FAMILY DWELLINGS",1127,15,10023,2,0,"2","2,043","6,576",1901,1,"B3",7825000,"3/4/20",40.7783342,-73.9763850468807,0,1,9,2,8
114,"331 CONVENT AVENUE, Manhattan","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS",2050,29,10031,3,0,"3","2,000","4,525",1910,1,"C0",2350000,"11/4/19",40.82357985,-73.946654,1,2,29,2,5
115,"34 WEST 119 STREET, Manhattan","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS",1717,150,10026,3,0,"3","1,817","3,708",1899,1,"C0",2226825,"12/30/19",40.8069647,-73.955416,2,1,55,1,5
116,"34 WEST 128 STREET, Manhattan","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS",1725,53,10027,3,0,"3","2,498","5,200",2000,1,"C0",2075000,"11/18/19",40.813495,-73.95311,5,0,42,1,5
117,"350 EAST 116TH STREET, Manhattan","HARLEM-EAST","02 TWO FAMILY DWELLINGS",1687,32,10029,2,1,"3","1,682","3,750",1900,1,"S2",1850000,"10/7/19",40.7960675,-73.9361167352288,3,15,40,0,1
118,"36 EAST 64TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1378,46,10065,1,0,"1","1,707","5,808",1905,1,"A4",9737500,"10/30/19",40.76628635,-73.9686249330939,0,0,19,5,15
119,"36 VAN CORLEAR PLACE, Manhattan","INWOOD","01 ONE FAMILY DWELLINGS",2215,389,10463,1,0,"1","1,254","1,528",1925,1,"A9",375000,"4/12/19",40.87666695,-73.9109140631405,7,0,15,1,4
120,"36 VAN CORLEAR PLACE, Manhattan","INWOOD","01 ONE FAMILY DWELLINGS",2215,389,10463,1,0,"1","1,254","1,528",1925,1,"A9",375000,"4/12/19",40.87666695,-73.9109140631405,7,0,15,1,4
121,"36 VAN CORLEAR PLACE, Manhattan","INWOOD","01 ONE FAMILY DWELLINGS",2215,389,10463,1,0,"1","1,254","1,528",1925,1,"A9",710000,"11/19/19",40.87666695,-73.9109140631405,7,0,15,1,4
122,"36 VAN CORLEAR PLACE, Manhattan","INWOOD","01 ONE FAMILY DWELLINGS",2215,389,10463,1,0,"1","1,254","1,528",1925,1,"A9",710000,"11/19/19",40.87666695,-73.9109140631405,7,0,15,1,4
123,"3686 BROADWAY, Manhattan","HARLEM-UPPER","02 TWO FAMILY DWELLINGS",2084,3,10031,2,0,"2","1,248","3,328",1899,1,"B1",2e+06,"5/10/19",40.83092345,-73.9467474108369,1,0,44,2,5
124,"37 WEST 11TH STREET, Manhattan","GREENWICH VILLAGE-CENTRAL","03 THREE FAMILY DWELLINGS",575,68,10011,3,0,"3","2,220","3,696",1901,1,"C0",11800000,"6/27/19",40.73478785,-73.9964260365181,3,0,19,6,12
125,"37 WEST 88TH STREET, Manhattan","UPPER WEST SIDE (79-96)","03 THREE FAMILY DWELLINGS",1202,17,10024,3,0,"3","2,114","6,689",1899,1,"C0",8875000,"5/15/19",40.78733105,-73.9696236504013,4,0,13,1,8
126,"370 WEST 11TH STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",637,55,10014,1,0,"1","2,160","4,400",1905,1,"A4",2900000,"7/24/19",40.73519645,-74.0094901035791,0,1,6,0,12
127,"38 EAST 74TH STREET, Manhattan","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS",1388,46,10021,2,0,"2","4,087","11,000",1920,1,"B3",25500000,"6/28/19",40.7729012352941,-73.9642291176471,0,0,13,1,15
128,"389 CONVENT AVENUE, Manhattan","HARLEM-UPPER","01 ONE FAMILY DWELLINGS",2061,115,10031,1,0,"1","800","2,560",1910,1,"A9",1100000,"11/25/19",40.82549525,-73.9453698338793,1,2,30,2,5
129,"39 CHARLTON STREET, Manhattan","SOHO","02 TWO FAMILY DWELLINGS",519,64,10014,2,0,"2","2,510","4,176",1899,1,"B1",7400000,"1/6/20",40.7272325,-74.00479575,5,0,39,2,14
130,"39 HARRISON STREET, Manhattan","TRIBECA","01 ONE FAMILY DWELLINGS",142,18,10013,1,0,"1","1,480","3,080",1899,1,"A9",4950000,"6/26/19",40.71853105,-74.0110119213667,1,1,20,2,14
131,"392 AUDUBON AVENUE, Manhattan","WASHINGTON HEIGHTS UPPER","02 TWO FAMILY DWELLINGS",2157,19,10033,2,0,"2","900","1,980",1899,1,"B3",999000,"11/26/19",40.8509386,-73.93097315,1,0,16,1,6
132,"4 JANE STREET, Manhattan","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS",615,75,10014,2,0,"2","1,180","3,360",1899,1,"B1",6240000,"3/19/20",40.73801715,-74.0023765772905,1,1,32,4,12
133,"4 JANE STREET, Manhattan","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS",615,75,10014,2,0,"2","1,180","3,360",1899,1,"B1",6240000,"3/19/20",40.73801715,-74.0023765772905,1,1,32,4,12
134,"41 BRADHURST AVENUE, Manhattan","HARLEM-CENTRAL","02 TWO FAMILY DWELLINGS",2051,140,10030,2,0,"2","1,386","2,984",1901,1,"B9",1750000,"10/10/19",40.8227819,-73.9436413513491,1,2,42,1,5
135,"41 HARRISON STREET, Manhattan","TRIBECA","02 TWO FAMILY DWELLINGS",142,19,10013,2,0,"2","1,480","3,080",1960,1,"B9",4050000,"6/17/19",40.7184765,-74.0110205289197,1,1,20,2,14
136,"415 EAST 116TH ST, Manhattan","HARLEM-EAST","03 THREE FAMILY DWELLINGS",1710,9,10029,3,0,"3","2,220","4,400",1899,1,"C0",2150000,"6/12/19",40.79586635,-73.9345221456197,3,11,38,0,1
137,"42 STUYVESANT STREET, Manhattan","EAST VILLAGE","02 TWO FAMILY DWELLINGS",465,43,10003,2,0,"2","1,241","3,160",1800,1,"B9",4725000,"2/14/20",40.7298594,-73.9876807042771,3,0,16,3,7
138,"425 CONVENT, Manhattan","HARLEM-UPPER","02 TWO FAMILY DWELLINGS",2063,18,10031,2,0,"2","1,445","3,740",1901,1,"B9",2769000,"10/29/19",40.82665495,-73.9444715666815,1,2,31,1,5
139,"427 WEST 162ND STREET, Manhattan","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS",2110,42,10032,2,0,"2","2,081","3,952",1911,1,"B1",2647000,"6/20/19",40.83534795,-73.9382683849378,2,0,32,1,3
140,"43 WEST 94TH STREET, Manhattan","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1208,17,10025,2,0,"2","1,787","3,608",1901,1,"B9",4100000,"3/24/20",40.79107825,-73.9668913086524,0,1,45,1,8
141,"43 WEST 94TH STREET, Manhattan","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1208,17,10025,2,0,"2","1,787","3,608",1901,1,"B9",4100000,"3/24/20",40.79107825,-73.9668913086524,0,1,45,1,8
142,"43 WEST 94TH STREET, Manhattan","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1208,17,10025,2,0,"2","1,787","3,608",1901,1,"B9",10,"11/25/19",40.79107825,-73.9668913086524,0,1,45,1,8
143,"43 WEST 94TH STREET, Manhattan","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1208,17,10025,2,0,"2","1,787","3,608",1901,1,"B9",10,"11/25/19",40.79107825,-73.9668913086524,0,1,45,1,8
144,"448 WEST 25TH STREET, Manhattan","CHELSEA","03 THREE FAMILY DWELLINGS",722,66,10001,3,0,"3","1,925","2,666",1900,1,"C0",4800000,"10/7/19",40.7485171,-74.0025311135621,0,0,35,1,11
145,"45 FORT CHARLES PLACE, Manhattan","INWOOD","01 ONE FAMILY DWELLINGS",2215,453,10463,1,0,"1","2,500","1,708",1930,1,"A1",649000,"8/5/19",40.8762742,-73.9101301360503,7,0,13,1,4
146,"45 WEST 88TH STREET, Manhattan","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1202,14,10024,1,0,"1","2,013","5,400",1900,1,"A5",11750000,"3/2/20",40.7874419,-73.969885213526,4,0,13,1,8
147,"457 CONVENT AVENUE, Manhattan","HARLEM-UPPER","03 THREE FAMILY DWELLINGS",2064,46,10031,3,0,"3","796","2,752",1915,1,"C0",1180366,"9/20/19",40.82760635,-73.94382875,1,1,42,2,5
148,"46 EAST 126TH STREET, Manhattan","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS",1750,49,10035,3,0,"3","2,048","4,840",1909,1,"C0",906243,"1/13/20",40.80607685,-73.9398258523617,6,2,42,1,5
149,"46 EAST 66TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1380,48,10065,1,0,"1","2,008","5,900",1920,1,"A4",17700000,"5/8/19",40.76761915,-73.9678541162774,0,0,15,2,15
150,"46 EAST 82ND STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1493,46,10028,1,1,"2","1,800","7,352",1899,1,"S1",15100000,"10/30/19",40.77774715,-73.9599841285156,0,0,14,2,15
151,"466 WEST 144TH STREET, Manhattan","HARLEM-UPPER","01 ONE FAMILY DWELLINGS",2059,26,10031,1,0,"1","2,098","4,716",1899,1,"A4",3600000,"8/29/19",40.8241763,-73.9477143960033,0,2,34,2,5
152,"473 WEST 140TH STREET, Manhattan","HARLEM-UPPER","02 TWO FAMILY DWELLINGS",2057,31,10031,2,0,"2","1,799","3,618",1910,1,"B1",440000,"10/17/19",40.82205985,-73.9494411737971,2,1,41,2,5
153,"475 WEST 146TH STREET, Manhattan","HARLEM-UPPER","02 TWO FAMILY DWELLINGS",2061,5,10031,2,0,"2","1,665","3,000",2014,1,"B1",2425000,"4/1/19",40.825685,-73.9463715,1,2,33,2,5
154,"483 WEST 22ND STREET, Manhattan","CHELSEA","01 ONE FAMILY DWELLINGS",720,6,10011,1,0,"1","1,562","4,150",1901,1,"A4",6725000,"9/3/19",40.746996,-74.00411,6,0,34,0,11
155,"49 EAST 67TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1382,32,10065,1,0,"1","2,008","6,340",1910,1,"A4",11750000,"10/23/19",40.76829935,-73.966607,0,0,15,2,15
156,"5 WEST 119TH STREET, Manhattan","HARLEM-CENTRAL","02 TWO FAMILY DWELLINGS",1718,133,10026,2,0,"2","780","2,224",1899,1,"B9",1825000,"8/19/19",40.80289975,-73.9454018,2,7,22,1,5
157,"50 HAMILTON TERRACE, Manhattan","HARLEM-CENTRAL","02 TWO FAMILY DWELLINGS",2050,168,10031,2,0,"2","1,700","3,564",1899,1,"B1",3800000,"10/1/19",40.8231656,-73.9464817662781,1,2,30,1,5
158,"50 SULLIVAN STREET, Manhattan","SOHO","01 ONE FAMILY DWELLINGS",490,27,10012,1,0,"1","2,286","4,607",2014,1,"A7",12250000,"9/13/19",40.724762,-74.0039155,3,0,28,4,14
159,"51 EAST 80TH STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1492,125,10075,1,0,"1","2,350","8,876",1899,1,"A4",21500000,"4/15/19",40.77692195,-73.9609780231171,0,0,13,1,15
160,"52 MARBLE HILL AVENUE, Manhattan","INWOOD","02 TWO FAMILY DWELLINGS",2215,552,10463,2,0,"2","2,975","2,655",1925,1,"B3",650000,"6/25/19",40.87558105,-73.9094897074197,7,0,14,1,4
161,"52 MARBLE HILL AVENUE, Manhattan","INWOOD","02 TWO FAMILY DWELLINGS",2215,552,10463,2,0,"2","2,975","2,655",1925,1,"B3",650000,"6/25/19",40.87558105,-73.9094897074197,7,0,14,1,4
162,"522 WEST 149TH STREET, Manhattan","HARLEM-UPPER","03 THREE FAMILY DWELLINGS",2080,42,10031,3,0,"3","1,499","3,172",1926,1,"C0",2100000,"7/10/19",40.8280681,-73.9468694966811,1,1,37,2,5
163,"565 WEST 159TH STREET, Manhattan","WASHINGTON HEIGHTS LOWER","01 ONE FAMILY DWELLINGS",2118,67,10032,1,0,"1","1,499","2,400",1910,1,"A9",950000,"7/11/19",40.8350469,-73.9429696,1,0,31,2,3
164,"57 SULLIVAN STREET, Manhattan","SOHO","03 THREE FAMILY DWELLINGS",489,2,10012,3,0,"3","1,260","2,898",1901,1,"C0",5220000,"1/22/20",40.724109,-74.0041309,3,0,27,4,14
165,"60 EAST 83RD STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1494,44,10028,1,0,"1","1,992","6,400",1923,1,"A4",16750000,"6/20/19",40.77838965,-73.9595186490443,0,0,14,1,15
166,"60 WEST 9TH STREET, Manhattan","GREENWICH VILLAGE-CENTRAL","01 ONE FAMILY DWELLINGS",572,12,10011,1,0,"1","2,348","5,065",1900,1,"A4",9800000,"6/27/19",40.7338254,-73.9986283828454,2,0,27,5,12
167,"605 WEST 187TH STREET, Manhattan","WASHINGTON HEIGHTS UPPER","02 TWO FAMILY DWELLINGS",2168,26,10033,2,0,"2","1,881","3,096",1910,1,"B1",775000,"6/11/19",40.8534581,-73.9314481917186,1,0,15,2,6
168,"61 MARBLE HILL AVENUE, Manhattan","INWOOD","03 THREE FAMILY DWELLINGS",2215,504,10463,3,0,"3","3,610","3,738",1901,1,"C0",1090000,"9/12/19",40.8759918,-73.9095408,7,0,13,1,4
169,"64 EAST 7TH STREET, Manhattan","EAST VILLAGE","01 ONE FAMILY DWELLINGS",448,16,10003,1,0,"1","2,271","5,299",1899,1,"A4",15750000,"5/14/19",40.7273388,-73.9870908108949,2,1,26,1,7
170,"65 HORATIO STREET, Manhattan","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS",643,62,10014,2,0,"2","850","2,296",1899,1,"B3",4450000,"10/17/19",40.7388376,-74.0068531,0,1,17,1,12
171,"66 CHARLES STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",620,64,10014,1,0,"1","910","2,880",1899,1,"A4",9750000,"4/8/19",40.73474885,-74.00330365,0,1,38,4,12
172,"70 CHARLES STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",620,62,10014,1,0,"1","910","2,984",1899,1,"A4",4950000,"6/26/19",40.7347441,-74.0034395221774,0,1,37,4,12
173,"71 JANE STREET, Manhattan","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS",642,63,10014,2,0,"2","1,807","3,360",1925,1,"B1",8e+06,"4/19/19",40.7382715,-74.00692435,0,1,14,1,12
174,"743 EAST 6TH STREET, Manhattan","ALPHABET CITY","01 ONE FAMILY DWELLINGS",376,43,10009,1,1,"2","2,090","3,680",1940,1,"S1",3200000,"7/24/19",40.72289935,-73.977399860395,1,0,57,0,7
175,"8 EAST 75TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1389,64,10021,1,1,"2","2,550","11,590",1910,1,"S1",3.8e+07,"1/3/20",40.77391825,-73.9648991928279,0,0,13,1,15
176,"8 PERRY STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",612,53,10014,1,0,"1","2,097","4,214",1899,1,"A4",12600000,"10/18/19",40.73571435,-74.0012165130666,2,1,31,6,12
177,"807 PARK AVENUE, Manhattan","UPPER EAST SIDE (59-79)","03 THREE FAMILY DWELLINGS",1409,72,10021,3,0,"3","1,875","21,999",1932,1,"C0",2.4e+07,"12/5/19",40.7726269,-73.9622755852759,0,0,14,1,15
178,"857 RIVERSIDE DRIVE, Manhattan","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS",2135,23,10032,2,0,"2","4,340","2,880",1915,1,"B2",975000,"10/28/19",40.8367596,-73.9472646507261,0,0,35,1,3
179,"9 EAST 84TH STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1496,9,10028,1,0,"1","2,554","10,250",1930,1,"A4",1.9e+07,"6/12/19",40.7800708,-73.9604108227554,0,0,20,1,15
180,"94 8 AVENUE, Manhattan","CHELSEA","02 TWO FAMILY DWELLINGS",764,74,10011,2,1,"3","1,421","2,226",1901,1,"S2",19900000,"11/13/19",40.7896239,-73.9598939,0,0,58,1,11
181,"944 SAINT NICHOLAS AVENUE, Manhattan","WASHINGTON HEIGHTS LOWER","03 THREE FAMILY DWELLINGS",2108,7,10032,3,0,"3","1,011","2,660",1899,1,"C0",1827500,"7/18/19",40.8326628,-73.9405291175549,1,0,43,4,3
182,"95 BARROW STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",603,61,10014,1,0,"1","900","2,592",1899,1,"A4",6750000,"10/15/19",40.73159855,-74.0070589819149,2,0,21,2,12
183,"96 BANK STREET, Manhattan","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS",634,57,10014,2,0,"2","1,005","2,736",1899,1,"B9",5125000,"11/26/19",40.73633465,-74.0064424695929,0,1,28,1,12
